No,단어 (한글),표기명,카테고리 그룹,카테고리 코드,AP 비용,주요 수치/능력,특수 효과 설명,사운드 효과,태그,로컬 에셋 경로,에테르AI CDN URL
16,구,구 (마법/구체),⚔️ 무기/공격 (18종),weapon,1,피해 8,마력 구체를 투척하여 8 마법 피해를 입히고 1턴간 적의 마법 저항을 30% 깎습니다.,playMagic,,./assets/01_무기_공격/orb_구/orb_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/332002a2-40b6-4870-a20f-4a98d0231951.png
17,상,상 (상흔/추뎀),⚔️ 무기/공격 (18종),weapon,1,피해 8,"깊은 상흔을 내어 8 피해를 입히며, 대상이 상태이상일 경우 2배(16) 피해를 입힙니다.",playAttack,,./assets/01_무기_공격/wound_상/wound_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d975f9c3-c659-475b-8eeb-58a1c4cea483.png
18,압,압 (제압/압박),⚔️ 무기/공격 (18종),weapon,1,피해 8,적을 강하게 억눌러 8 피해를 입히고 1턴간 적의 공격력을 3 감소시킵니다.,playAttack,,./assets/01_무기_공격/press_압/press_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/ce9f1d02-82d9-409a-a850-5f7b7d37f522.png
19,방,방 (방어/방패),🛡️ 방어/결계 (18종),defense,1,방어도 10,10의 방어도를 즉시 획득합니다.,playShield,,./assets/02_방어_장비/shield_방/shield_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/062c7efe-dcc8-4e33-acd6-b23a47f643c6.png
20,갑,갑 (방어/철갑),🛡️ 방어/결계 (18종),defense,1,방어도 14,14의 단단한 철갑 방어도를 획득합니다.,playShield,,./assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/f5fbf2bb-4def-4172-b6e1-bdbece0604f3.png
21,문,문 (구조/무적),🛡️ 방어/결계 (18종),defense,1,-,견고한 대문을 닫아 다음 1회 동안 적의 모든 피해를 무효화(1회 무적)합니다.,playAttack,,./assets/05_구조_필드/door_문/door_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/60609590-94b9-479b-a724-2ef7ef2885f3.png
22,성,성 (구조/성벽),🛡️ 방어/결계 (18종),defense,1,방어도 12,"12의 방어도를 얻으며, 남은 방어도가 다음 턴으로 100% 이월됩니다.",playAttack,,./assets/05_구조_필드/castle_성/castle_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/87291084-1230-4cf6-a064-4d3d8a105b23.png
23,산,산 (자연/태산),🛡️ 방어/결계 (18종),defense,1,방어도 15,태산 같은 굳건함으로 15의 거대한 방어도를 획득합니다.,playShield,,./assets/02_방어_장비/mountain_산/mountain_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/60609590-94b9-479b-a724-2ef7ef2885f3.png
24,막,막 (결계/장막),🛡️ 방어/결계 (18종),defense,1,방어도 11,보호 장막을 형성하여 11의 방어도를 즉시 얻습니다.,playShield,,./assets/02_방어_장비/barrier_막/barrier_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/062c7efe-dcc8-4e33-acd6-b23a47f643c6.png
25,완,완 (방어/완벽),🛡️ 방어/결계 (18종),defense,1,방어도 13,완벽한 가드를 올려 13의 방어도를 얻습니다.,playShield,,./assets/02_방어_장비/perfect_shield_완/perfect_shield_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/062c7efe-dcc8-4e33-acd6-b23a47f643c6.png
26,궁,궁 (구조/궁전),🛡️ 방어/결계 (18종),defense,1,방어도 13,궁전 결계를 쳐 13 방어도를 얻고 2턴 동안 방어도가 파괴되지 않습니다.,playAttack,,./assets/02_방어_장비/palace_궁/palace_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/b0f42e38-bcbd-45cb-ab0b-9a76f631a11d.png
27,인,인 (정신/인내),🛡️ 방어/결계 (18종),defense,1,방어도 12,강철 같은 인내로 12 방어도를 얻고 1턴간 모든 상태이상에 면역이 됩니다.,playShield,,./assets/02_방어_장비/medal_patience_인/medal_patience_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/5954db97-6435-4f7e-8773-be8fd16176a2.png
28,보,보 (구조/보루),🛡️ 방어/결계 (18종),defense,1,방어도 14,최후의 보루를 세워 14 방어도를 얻고 다음 턴 AP 1을 보존합니다.,playAttack,,./assets/02_방어_장비/fortress_보/fortress_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/6c80ad9a-7c86-44d6-99e3-3f9d814b674d.png
29,언,언 (결계/언약),🛡️ 방어/결계 (18종),defense,1,방어도 10,불변의 언약을 맺어 10 방어도를 얻고 이번 턴 받는 모든 피해를 30% 경감합니다.,playShield,,./assets/02_방어_장비/vow_seal_언/vow_seal_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/c25613a5-99a5-4a4b-b505-72069e9d680f.png
30,위,위 (결계/위성),🛡️ 방어/결계 (18종),defense,1,방어도 10,회전하는 위성 방어막으로 10 방어도 및 2턴간 턴마다 3 실드를 자동 생성합니다.,playShield,,./assets/02_방어_장비/orbit_shield_위/orbit_shield_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/208182cc-3853-4fe9-a71c-a8f5380c01c9.png
31,누,누 (구조/누각),🛡️ 방어/결계 (18종),defense,1,방어도 10,높은 누각을 세워 10 방어도를 얻고 다음 턴 시작 시 5 방어도를 추가로 얻습니다.,playAttack,,./assets/02_방어_장비/tower_누/tower_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/4bbe3379-5d42-4182-bd5a-98a1e2f15c84.png
32,굴,굴 (자연/은신),🛡️ 방어/결계 (18종),defense,1,방어도 8,동굴 속으로 피신하여 8 방어도를 얻고 적의 단일 공격을 1회 패링(무효화)합니다.,playAttack,,./assets/05_구조_필드/cave_굴/cave_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/dee35726-dc05-4bdf-b772-1a9d07a61e55.png
33,반,반 (전술/반격),🛡️ 방어/결계 (18종),defense,1,방어도 6,"6 방어도를 얻고, 이번 턴 피격받을 때마다 공격자에게 5 반격 피해를 입힙니다.",playAttack,,./assets/02_방어_장비/counter_shield_반/counter_shield_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/062c7efe-dcc8-4e33-acd6-b23a47f643c6.png
34,울,울 (구조/울타리),🛡️ 방어/결계 (18종),defense,1,"방어도 8, 가시 4",가시 울타리를 둘러 8 방어도를 얻고 가시 4(피격 시 4 반사 피해)를 얻습니다.,playAttack,,./assets/02_방어_장비/fence_울/fence_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/87291084-1230-4cf6-a064-4d3d8a105b23.png
35,솜,솜 (완충/흡수),🛡️ 방어/결계 (18종),defense,1,방어도 8,푹신한 솜 방어막으로 8 방어도를 얻고 이번 턴 물리 피해를 50% 흡수합니다.,playAttack,,./assets/02_방어_장비/cotton_솜/cotton_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/9b3621fd-78c7-4869-832e-75d997b620bb.png
36,옷,옷 (장비/의복),🛡️ 방어/결계 (18종),defense,1,방어도 8,마법 의복을 둘러 8 방어도를 얻고 2턴간 모든 마법 피해를 30% 경감합니다.,playAttack,,./assets/02_방어_장비/cloth_옷/cloth_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/f0124162-fe36-4a6d-81e9-b95988350c9c.png
37,불,불 (원소/화염),🔮 원소/마법 (17종),element,1,"피해 7, 화상 4",적에게 7 화염 피해를 입히고 3턴간 화상(매 턴 4 피해)을 부여합니다.,playMagic,,./assets/03_원소_마법/fire_불/fire_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
38,물,물 (원소/수류),🔮 원소/마법 (17종),element,1,"피해 6, 방어도 6","적에게 6 피해를 입히고, 6 방어도를 얻으며 자신의 모든 디버프를 정화합니다.",playMagic,,./assets/03_원소_마법/water_물/water_1_32px.png,https://cdn.aetherforgeai.com/assets/ec774d88-4224-4f9b-b3f6-0150a177fd05.png
39,빙,빙 (원소/빙결),🔮 원소/마법 (17종),element,1,피해 7,적을 얼려 7 냉기 피해를 입히고 1턴간 적의 공격력을 4 감소시킵니다.,playMagic,,./assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/e2cde03e-2c2c-4ea1-a189-26d54ad52362.png
40,비,비 (자연/정화),🔮 원소/마법 (17종),element,1,회복 6,단비가 내려 체력 6을 회복하고 전장의 모든 화상 효과를 소멸시킵니다.,playAttack,,./assets/03_원소_마법/rain_비/rain_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
41,광,광 (원소/섬광),🔮 원소/마법 (17종),element,1,피해 8,눈부신 섬광을 터뜨려 8 피해를 입히고 적의 이번 턴 공격 의도를 취소시킵니다.,playMagic,,./assets/03_원소_마법/flash_광/flash_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/4928b978-1058-418a-9a46-bfec94b77afa.png
42,노,노 (원소/노을),🔮 원소/마법 (17종),element,1,"피해 8, 화상 3",타오르는 노을빛으로 8 광역 피해를 입히고 2턴간 화상(매 턴 3)을 부여합니다.,playMagic,,./assets/03_원소_마법/ember_노/ember_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
43,암,암 (원소/암흑),🔮 원소/마법 (17종),element,1,피해 9,어둠의 파동을 뿜어 9 암흑 피해를 입히고 적 공격력을 2 영구 흡수합니다.,playMagic,,./assets/03_원소_마법/darkness_암/darkness_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/e50221fa-f385-42bc-8ec2-2b524bc6bc75.png
44,우,우 (원소/뇌우),🔮 원소/마법 (17종),element,1,피해 11,천둥과 폭우를 소환하여 11 뇌전 피해를 입히고 1턴간 적을 실명시킵니다.,playMagic,,./assets/03_원소_마법/thunder_rain_우/thunder_rain_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
45,와,와 (원소/와류),🔮 원소/마법 (17종),element,1,피해 8,소용돌이를 일으켜 8 수류 피해를 입히고 적의 방어도를 절반으로 깎습니다.,playMagic,,./assets/03_원소_마법/whirlpool_water_와/whirlpool_water_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
46,얼,얼 (원소/빙하),🔮 원소/마법 (17종),element,1,피해 8,빙하 파편을 꽂아 8 냉기 피해를 입히고 1턴간 적의 공격력을 4 깎습니다.,playMagic,,./assets/03_원소_마법/freeze_얼/freeze_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/31ca54a0-46b4-4562-b589-ca9e3ca8ae60.png
47,업,업 (원소/업화),🔮 원소/마법 (17종),element,1,피해 10,"인과의 불꽃으로 10 피해를 입히고, 적이 공격할 때마다 4 화염 반사 피해를 줍니다.",playMagic,,./assets/03_원소_마법/karma_ember_업/karma_ember_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
48,음,음 (음파/충격),🔮 원소/마법 (17종),element,1,피해 6,강력한 진동 음파로 6 관통 피해를 입히고 적의 마법 시전을 차단합니다.,playAttack,,./assets/03_원소_마법/soundwave_음/soundwave_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/f7a3e04a-0a84-4a4d-ac1e-7b6004180151.png
49,석,석 (자연/투석),🔮 원소/마법 (17종),element,1,피해 9,단단한 암석을 투척하여 9 물리 피해를 입히고 적 방어도를 5 파괴합니다.,playAttack,,./assets/03_원소_마법/rock_stone_석/rock_stone_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/e2cde03e-2c2c-4ea1-a189-26d54ad52362.png
50,선,선 (자연/돌풍),🔮 원소/마법 (17종),element,1,"피해 7, 방어도 6",돌풍을 소환하여 7 피해를 입히고 날아오는 적 투사체를 튕겨냅니다 (방어도 6).,playAttack,,./assets/03_원소_마법/wind_mist_선/wind_mist_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
51,섬,섬 (원소/광채),🔮 원소/마법 (17종),element,1,-,극광의 섬광으로 적을 1턴간 완전 실명(공격 빗맞힘 100%) 상태로 만듭니다.,playMagic,,./assets/03_원소_마법/light_flash_섬/light_flash_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/e50221fa-f385-42bc-8ec2-2b524bc6bc75.png
52,수,수 (원소/격류),🔮 원소/마법 (17종),element,1,"피해 8, 방어도 6",수류를 방출하여 적에게 8 피해를 입히고 아군에게 6 방어도를 부여합니다.,playMagic,,./assets/03_원소_마법/water_flow_수/water_flow_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
53,뇌,뇌 (원소/뇌전),🔮 원소/마법 (17종),element,1,피해 14,천둥 번개를 소환하여 적에게 14의 폭발적인 뇌전 피해를 입힙니다.,playMagic,,./assets/03_원소_마법/lightning_bolt_뇌/lightning_bolt_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
54,곰,곰 (생물/도발),🐾 생물/소환 (15종),summon,1,"피해 6, 방어도 8",거대한 곰을 소환하여 6 피해를 입히고 8 실드 및 1턴간 도발(피해 흡수)을 겁니다.,playSummon,,./assets/04_생물_소환/bear_곰/bear_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/89e7dabe-cb9a-4ff7-b9eb-ffafe11ded22.png
55,뱀,뱀 (생물/맹독),🐾 생물/소환 (15종),summon,1,"피해 4, 독 4",초록 독사를 소환해 4 피해를 입히고 4의 맹독(지속 피해)을 주입합니다.,playSummon,,./assets/04_생물_소환/snake_뱀/snake_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/771f6200-0135-432a-9dd6-f2c6213622cb.png
56,새,새 (생물/순환),🐾 생물/소환 (15종),summon,1,드로우 +2,정찰 새를 날려 즉시 자모 타일 2장을 추가 드로우합니다.,playSummon,,./assets/04_생물_소환/bird_새/bird_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3a9d329b-d814-45fa-b8f4-64e8892f1d47.png
57,말,말 (생물/질주),🐾 생물/소환 (15종),summon,1,피해 8,야생마가 돌진하여 적에게 8 피해를 입히고 이번 턴 즉시 추가 1회 행동을 얻습니다.,playSummon,,./assets/04_생물_소환/horse_말/horse_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d8ec82a7-d246-4aad-9342-f0324fa04151.png
58,소,소 (생물/돌파),🐾 생물/소환 (15종),summon,1,피해 11,황소가 들이받아 11 피해를 입히고 적의 모든 방어도를 완전히 파괴합니다.,playSummon,,./assets/04_생물_소환/bull_소/bull_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/771f6200-0135-432a-9dd6-f2c6213622cb.png
59,개,개 (생물/충견),🐾 생물/소환 (15종),summon,1,"피해 5, 방어도 6",충견을 소환하여 적에게 5 피해를 입히고 피해를 대신 흡수하는 6 실드를 얻습니다.,playSummon,,./assets/04_생물_소환/dog_wolf_개/dog_wolf_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3e403820-3564-44db-b470-627cf0c636c2.png
60,벌,벌 (생물/독침),🐾 생물/소환 (15종),summon,1,"피해 2, 독 3",말벌 떼를 풀어 2 피해를 2회(총 4 피해) 입히고 맹독 3스택을 겁니다.,playSummon,,./assets/04_생물_소환/wasp_bee_벌/wasp_bee_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/712d5626-35d9-4aef-a7c7-a2f34ca9ebd0.png
61,범,범 (생물/호랑이),🐾 생물/소환 (15종),summon,1,피해 13,호랑이의 포효로 적 전체에 13 피해를 입히고 1턴간 공포(피해량 -50%)를 겁니다.,playSummon,,./assets/04_생물_소환/tiger_범/tiger_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3a9d329b-d814-45fa-b8f4-64e8892f1d47.png
62,매,매 (생물/저격),🐾 생물/소환 (15종),summon,1,피해 9,매가 급강하하여 적의 방어도를 완전히 무시하는 9 관통 피해를 입힙니다.,playSummon,,./assets/04_생물_소환/hawk_eagle_매/hawk_eagle_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/14a91078-c28b-455a-bb49-65289f4b9e1c.png
63,알,알 (생물/부화),🐾 생물/소환 (15종),summon,1,-,신비한 알을 품어 다음 턴 시작 시 강력한 무작위 야수(곰/범/독사)를 자동 소환합니다.,playSummon,,./assets/04_생물_소환/egg_알/egg_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/298b8400-4353-4aa8-b76d-2a11d52e0c0c.png
64,낭,낭 (생물/늑대),🐾 생물/소환 (15종),summon,1,피해 7,늑대 무리를 불러 7 피해를 입히고 적의 방어도를 4 깎아냅니다.,playSummon,,./assets/04_생물_소환/wolf_낭/wolf_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/31669507-22af-463c-b73d-4affd982639f.png
65,어,어 (생물/물고기),🐾 생물/소환 (15종),summon,1,방어도 7,물고기처럼 유연하게 움직여 7 방어도를 얻고 다음 공격 회피율 40%를 얻습니다.,playSummon,,./assets/04_생물_소환/fish_어/fish_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/43a73120-e9ac-4e8b-a0cf-ce5a4e67afae.png
66,익,익 (생물/날개),🐾 생물/소환 (15종),summon,1,방어도 8,거대한 날개를 펼쳐 8 방어도를 얻고 다음 턴 드로우를 +1장 늘립니다.,playSummon,,./assets/04_생물_소환/wing_익/wing_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/2fa47e98-9a58-4870-a7f2-348af7976dcb.png
67,솔,솔 (자연/솔방울),🐾 생물/소환 (15종),summon,1,피해 10,솔방울 폭탄을 던져 10의 범위 폭발 피해를 입힙니다.,playAttack,,./assets/04_생물_소환/pinecone_솔/pinecone_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/b7df4481-c26d-49af-ba4f-27a57966198f.png
68,운,운 (운명/행운),🐾 생물/소환 (15종),summon,1,"방어도 5, 드로우 +2",운명의 수레바퀴: 자모 카드 2장을 즉시 드로우하고 5 방어도를 얻습니다.,playAttack,,./assets/04_생물_소환/fortune_cloud_운/fortune_cloud_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/5954db97-6435-4f7e-8773-be8fd16176a2.png
69,숨,숨 (신체/호흡),💖 회복/치유 (16종),heal,1,회복 5,깊은 심호흡을 하여 체력 5를 회복하고 상태이상 1개를 즉시 정화합니다.,playAttack,,./assets/06_회복_치유/breath_wind_숨/breath_wind_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
70,생,생 (생명/축복),💖 회복/치유 (16종),heal,1,"회복 10, 최대HP +2",생명의 환희로 체력 10을 회복하고 최대 체력을 +2 영구 증가시킵니다.,playMagic,,./assets/06_회복_치유/life_sprout_생/life_sprout_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/01eb26ab-4bc1-4742-b102-8a8c8ca26668.png
71,샘,샘 (자연/치유),💖 회복/치유 (16종),heal,1,회복 9,생명의 샘물을 마셔 체력 9를 즉시 회복합니다.,playMagic,,./assets/06_회복_치유/spring_water_샘/spring_water_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
72,감,감 (음식/단감),💖 회복/치유 (16종),heal,1,"회복 6, 드로우 +1",달콤한 감을 먹어 체력 6을 회복하고 자모 타일 1장을 드로우합니다.,playMagic,,./assets/06_회복_치유/persimmon_감/persimmon_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/bf079e76-0465-4c9b-9302-a266d1ed7780.png
73,살,살 (신체/재생),💖 회복/치유 (16종),heal,1,재생 +3,살점이 재생되어 3턴 동안 매 턴 종료 시 HP를 3씩 회복합니다.,playAttack,,./assets/06_회복_치유/flesh_heal_살/flesh_heal_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/875c83cc-d1be-4ed2-9e8c-f1ad26493a26.png
74,봄,봄 (자연/생기),💖 회복/치유 (16종),heal,1,회복 7,따스한 봄기운으로 아군 체력 7 회복 및 모든 디버프 지속시간을 1턴 단축합니다.,playAttack,,./assets/06_회복_치유/spring_season_봄/spring_season_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/df5f23b7-2adb-46a7-900a-70a879e31efc.png
75,내,내 (자연/청류),💖 회복/치유 (16종),heal,1,회복 5,맑은 시냇물로 체력 5를 회복하고 해로운 효과 2개를 씻어냅니다.,playAttack,,./assets/06_회복_치유/stream_water_내/stream_water_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/d79c8a73-ab7a-463e-9f6e-ad586fb2f287.png
76,식,식 (음식/보양),💖 회복/치유 (16종),heal,1,회복 6,보양식을 섭취하여 체력 6을 회복하고 1턴간 모든 속성 저항력을 +30% 높입니다.,playMagic,,./assets/06_회복_치유/food_rice_식/food_rice_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/95edc807-ee8e-4d40-8e88-11bd6c44cbf8.png
77,실,실 (도구/봉합),💖 회복/치유 (16종),heal,1,회복 6,상처를 꿰매어 출혈을 즉시 멈추고 체력 6을 회복합니다.,playAttack,,./assets/06_회복_치유/thread_stitch_실/thread_stitch_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/0eadc9f6-ad12-44ed-82a5-db559ad22542.png
78,온,온 (자연/온천),💖 회복/치유 (16종),heal,1,회복 7,따스한 온천욕으로 체력 7을 회복하고 모든 디버프 지속시간을 1턴 감소시킵니다.,playAttack,,./assets/06_회복_치유/warm_glow_온/warm_glow_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/3c0e0736-98df-4b4b-87f3-46a47d39dad7.png
79,입,입 (신체/흡혈),💖 회복/치유 (16종),heal,1,피해 4,적에게 4 피해를 입히고 입힌 피해만큼 체력을 그대로 흡수(흡혈)합니다.,playAttack,,./assets/06_회복_치유/mouth_blood_입/mouth_blood_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/2b262d02-c1a5-44ea-b7fe-6be77e394bdd.png
80,월,월 (신비/월광),💖 회복/치유 (16종),heal,1,피해 9,초승달 검기로 9 암흑 피해를 입히고 체력 4를 흡혈합니다.,playAttack,,./assets/06_회복_치유/moon_light_월/moon_light_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/c25613a5-99a5-4a4b-b505-72069e9d680f.png
