글자수,단어,타워 명칭,티어,카테고리,필요 자모 순서 (조합 공식),음절 분절 구조,공격력,사거리,공격속도,특수 효과 상세 설명,에셋 파일 경로
1글자,골,골 (메이스/분쇄),1티어 (기본),weapon,ㄱ + ㅗ + ㄹ,[ㄱㅗㄹ],12,150 px,0.65 초,육중한 철퇴로 내리쳐 12 분쇄 피해를 입힙니다.,res://assets/01_무기_공격/mace_골/mace_1_32px_pastel.png
1글자,권,권 (주먹/정권),1티어 (기본),weapon,ㄱ + ㅜ + ㅓ + ㄴ,[ㄱㅜㅓㄴ],10,150 px,0.65 초,묵직한 주먹 강타로 10 물리 피해를 입힙니다.,res://assets/01_무기_공격/fist_권/fist_1_32px_pastel.png
1글자,극,극 (삼지창/찌르기),1티어 (기본),weapon,ㄱ + ㅡ + ㄱ,[ㄱㅡㄱ],13,150 px,0.65 초,세 갈래 창날로 13의 날카로운 찌르기 피해를 가합니다.,res://assets/01_무기_공격/trident_극/trident_1_32px_pastel.png
1글자,날,날 (칼날/절단),1티어 (기본),weapon,ㄴ + ㅏ + ㄹ,[ㄴㅏㄹ],9,150 px,0.65 초,예리한 칼날로 베어 9 피해 및 30% 취약 표식을 부여합니다.,res://assets/01_무기_공격/blade_날/blade_1_32px_pastel.png
1글자,낫,낫 (사신의낫/베기),1티어 (기본),weapon,ㄴ + ㅏ + ㅅ,[ㄴㅏㅅ],13,150 px,0.65 초,거대한 낫을 휘둘러 13 광역 베기 피해를 입힙니다.,res://assets/01_무기_공격/scythe_낫/scythe_1_32px_pastel.png
1글자,도,도 (단도/연속베기),1티어 (기본),weapon,ㄷ + ㅗ,[ㄷㅗ],8,150 px,0.65 초,단도를 날렵하게 휘둘러 8 물리 피해를 입힙니다.,res://assets/01_무기_공격/blade_도/blade_1_32px_pastel.png
1글자,못,못 (대못/출혈),1티어 (기본),weapon,ㅁ + ㅗ + ㅅ,[ㅁㅗㅅ],7,150 px,0.65 초,날카로운 대못을 박아 7 피해 및 초당 3 출혈 피해를 줍니다.,res://assets/01_무기_공격/spike_못/spike_1_32px_pastel.png
1글자,봉,봉 (장봉/광역),1티어 (기본),weapon,ㅂ + ㅗ + ㅇ,[ㅂㅗㅇ],8,150 px,0.65 초,장봉을 크게 회전시켜 범위 내 적들에게 8 타격을 입힙니다.,res://assets/01_무기_공격/staff_봉/staff_1_32px_pastel.png
1글자,삭,삭 (삭풍/참격),1티어 (기본),weapon,ㅅ + ㅏ + ㄱ,[ㅅㅏㄱ],10,150 px,0.65 초,매서운 삭풍을 휘둘러 10 피해를 입힙니다.,res://assets/01_무기_공격/wind_slash_삭/wind_slash_1_32px_pastel.png
1글자,쇠,쇠 (금속/강타),1티어 (기본),weapon,ㅅ + ㅗ + ㅣ,[ㅅㅗㅣ],11,150 px,0.65 초,쇳덩이를 내리쳐 11 물리 피해를 입힙니다.,res://assets/01_무기_공격/iron_쇠/iron_1_32px_pastel.png
1글자,일,일 (일격/강타),1티어 (기본),weapon,ㅇ + ㅣ + ㄹ,[ㅇㅣㄹ],15,150 px,0.65 초,혼신의 일격을 날려 15의 치명적인 단일 물리 피해를 입힙니다.,res://assets/01_무기_공격/strike_일/strike_1_32px_pastel.png
1글자,창,창 (장창/관통),1티어 (기본),weapon,ㅊ + ㅏ + ㅇ,[ㅊㅏㅇ],12,150 px,0.65 초,장창을 내질러 12 피해와 함께 경로 상의 적을 관통합니다.,res://assets/01_무기_공격/spear_창/spear_1_32px_pastel.png
1글자,총,총 (총탄/원거리),1티어 (기본),weapon,ㅊ + ㅗ + ㅇ,[ㅊㅗㅇ],11,150 px,0.65 초,마력 총탄을 발사하여 11 원거리 저격 피해를 줍니다.,res://assets/01_무기_공격/gun_총/gun_1_32px_pastel.png
1글자,추,추 (철퇴추/스턴),1티어 (기본),weapon,ㅊ + ㅜ,[ㅊㅜ],11,150 px,0.65 초,무거운 쇠추를 던져 11 피해 및 0.5초 경직을 줍니다.,res://assets/01_무기_공격/flail_추/flail_1_32px_pastel.png
1글자,포,포 (대포/폭격),1티어 (기본),weapon,ㅍ + ㅗ,[ㅍㅗ],16,150 px,0.65 초,대포를 발사하여 착탄 지점에 16의 강력한 폭발 피해를 줍니다.,res://assets/01_무기_공격/cannon_포/cannon_1_32px_pastel.png
1글자,활,활 (장궁/저격),1티어 (기본),weapon,ㅎ + ㅗ + ㅏ + ㄹ,[ㅎㅗㅏㄹ],9,150 px,0.65 초,먼 거리의 적에게 9의 정확한 화살을 발사합니다.,res://assets/01_무기_공격/bow_활/bow_1_32px_pastel.png
2글자,갑옷,갑옷 (중갑/가시반사),2티어 (상위),defense,ㄱ + ㅏ + ㅂ + ㅇ + ㅗ + ㅅ,[ㄱㅏㅂ] ➔ [ㅇㅗㅅ],23,160 px,0.81 초,[2글자 상위 타워] 23의 중갑 파편을 난사하여 사방의 적들에게 물리 피해를 가합니다.,res://assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png
2글자,강철,강철 (방어/강철포),2티어 (상위),defense,ㄱ + ㅏ + ㅇ + ㅊ + ㅓ + ㄹ,[ㄱㅏㅇ] ➔ [ㅊㅓㄹ],26,160 px,0.81 초,[2글자 상위 타워] 26의 단단한 강철 볼트를 발사하여 일직선상의 적들을 분쇄합니다.,res://assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png
2글자,결계,결계 (마법장막/반사),2티어 (상위),defense,ㄱ + ㅕ + ㄹ + ㄱ + ㅖ,[ㄱㅕㄹ] ➔ [ㄱㅖ],24,160 px,0.81 초,[2글자 상위 타워] 마법 결계를 펼쳐 24 피해와 함께 적의 투사체를 차단합니다.,res://assets/02_방어_장비/barrier_막/barrier_1_32px_pastel.png
2글자,관문,관문 (철문/철문압살),2티어 (상위),defense,ㄱ + ㅗ + ㅏ + ㄴ + ㅁ + ㅜ + ㄴ,[ㄱㅗㅏㄴ] ➔ [ㅁㅜㄴ],25,160 px,0.81 초,[2글자 상위 타워] 육중한 관문 철문을 떨어뜨려 25 피해 및 범위 기절을 일으킵니다.,res://assets/02_방어_장비/gate_문/gate_1_32px_pastel.png
2글자,금강,금강 (불괴/금강석),2티어 (상위),defense,ㄱ + ㅡ + ㅁ + ㄱ + ㅏ + ㅇ,[ㄱㅡㅁ] ➔ [ㄱㅏㅇ],30,160 px,0.81 초,[2글자 상위 타워] 다이아몬드처럼 단단한 금강 탄환으로 30의 파괴 피해를 입힙니다.,res://assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png
2글자,망루,망루 (저격망루/고공사격),2티어 (상위),defense,ㅁ + ㅏ + ㅇ + ㄹ + ㅜ,[ㅁㅏㅇ] ➔ [ㄹㅜ],27,160 px,0.81 초,[2글자 상위 타워] 높은 망루 위에서 27의 원거리 저격 화살을 쏩니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,방벽,방벽 (장벽/돌벽방어),2티어 (상위),defense,ㅂ + ㅏ + ㅇ + ㅂ + ㅕ + ㄱ,[ㅂㅏㅇ] ➔ [ㅂㅕㄱ],26,160 px,0.81 초,[2글자 상위 타워] 높은 방벽을 축조하여 26 피해 및 적들의 길을 막아섭니다.,res://assets/02_방어_장비/barrier_막/barrier_1_32px_pastel.png
2글자,방패,방패 (방어/공속오라),2티어 (상위),defense,ㅂ + ㅏ + ㅇ + ㅍ + ㅏ + ㅣ,[ㅂㅏㅇ] ➔ [ㅍㅏㅣ],20,160 px,0.81 초,[2글자 상위 타워] 20의 방어 충격파를 발사하며 주변 모든 아군 타워 공격속도를 +30% 증폭시킵니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,백금,백금 (플래티넘/금속결계),2티어 (상위),defense,ㅂ + ㅏ + ㅣ + ㄱ + ㄱ + ㅡ + ㅁ,[ㅂㅏㅣㄱ] ➔ [ㄱㅡㅁ],29,160 px,0.81 초,[2글자 상위 타워] 귀한 백금 방벽을 세워 29 피해 및 적의 접근을 차단합니다.,res://assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png
2글자,보루,보루 (최후보루/일제사격),2티어 (상위),defense,ㅂ + ㅗ + ㄹ + ㅜ,[ㅂㅗ] ➔ [ㄹㅜ],27,160 px,0.81 초,[2글자 상위 타워] 최후의 보루에서 일제 사격을 퍼부어 27의 집중 포화를 가합니다.,res://assets/02_방어_장비/castle_성/castle_1_32px_pastel.png
2글자,보호,보호 (보호막/정화),2티어 (상위),defense,ㅂ + ㅗ + ㅎ + ㅗ,[ㅂㅗ] ➔ [ㅎㅗ],23,160 px,0.81 초,[2글자 상위 타워] 보호의 파동을 일으켜 23 피해 및 기지 피해를 1회 흡수합니다.,res://assets/02_방어_장비/guard_완/guard_1_32px_pastel.png
2글자,석벽,석벽 (돌벽/낙석),2티어 (상위),defense,ㅅ + ㅓ + ㄱ + ㅂ + ㅕ + ㄱ,[ㅅㅓㄱ] ➔ [ㅂㅕㄱ],24,160 px,0.81 초,[2글자 상위 타워] 단단한 석벽에서 거대한 바위를 던져 24 광역 피해를 줍니다.,res://assets/02_방어_장비/mountain_산/mountain_1_32px_pastel.png
2글자,성문,성문 (철통/성문낙하),2티어 (상위),defense,ㅅ + ㅓ + ㅇ + ㅁ + ㅜ + ㄴ,[ㅅㅓㅇ] ➔ [ㅁㅜㄴ],28,160 px,0.81 초,[2글자 상위 타워] 거대한 성문을 쾅 내리찍어 28 피해 및 광역 기절을 줍니다.,res://assets/02_방어_장비/gate_문/gate_1_32px_pastel.png
2글자,성벽,성벽 (방어/요새포),2티어 (상위),defense,ㅅ + ㅓ + ㅇ + ㅂ + ㅕ + ㄱ,[ㅅㅓㅇ] ➔ [ㅂㅕㄱ],22,160 px,0.81 초,[2글자 상위 타워] 22의 요새 방어탄을 발사하며 사거리 내 진입한 적들의 속도를 50% 감속시킵니다.,res://assets/02_방어_장비/castle_성/castle_1_32px_pastel.png
2글자,성채,성채 (방벽/성채수호),2티어 (상위),defense,ㅅ + ㅓ + ㅇ + ㅊ + ㅏ + ㅣ,[ㅅㅓㅇ] ➔ [ㅊㅏㅣ],26,160 px,0.81 초,[2글자 상위 타워] 성채의 수호포를 쏘아올려 26의 묵직한 포탄을 쏟아붓습니다.,res://assets/02_방어_장비/castle_성/castle_1_32px_pastel.png
2글자,수호,수호 (가호/수호빛),2티어 (상위),defense,ㅅ + ㅜ + ㅎ + ㅗ,[ㅅㅜ] ➔ [ㅎㅗ],25,160 px,0.81 초,[2글자 상위 타워] 수호의 빛을 방출하여 25 피해 및 아군 타워 공격속도를 +20% 버프합니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,요새,요새 (거점/요새포격),2티어 (상위),defense,ㅇ + ㅛ + ㅅ + ㅏ + ㅣ,[ㅇㅛ] ➔ [ㅅㅏㅣ],28,160 px,0.81 초,[2글자 상위 타워] 요새의 거대 함포를 발사하여 28의 파괴적인 광역 포격을 가합니다.,res://assets/02_방어_장비/castle_성/castle_1_32px_pastel.png
2글자,장벽,장벽 (방어선/봉쇄),2티어 (상위),defense,ㅈ + ㅏ + ㅇ + ㅂ + ㅕ + ㄱ,[ㅈㅏㅇ] ➔ [ㅂㅕㄱ],24,160 px,0.81 초,[2글자 상위 타워] 거대한 방어 장벽을 형성하여 적들의 진격을 24 피해로 저지합니다.,res://assets/02_방어_장비/barrier_막/barrier_1_32px_pastel.png
2글자,진지,진지 (거점/화력진지),2티어 (상위),defense,ㅈ + ㅣ + ㄴ + ㅈ + ㅣ,[ㅈㅣㄴ] ➔ [ㅈㅣ],29,160 px,0.81 초,[2글자 상위 타워] 단단한 화력 진지에서 29의 집중 사격을 쏟아냅니다.,res://assets/02_방어_장비/castle_성/castle_1_32px_pastel.png
2글자,철갑,철갑 (중무장/철갑관통),2티어 (상위),defense,ㅊ + ㅓ + ㄹ + ㄱ + ㅏ + ㅂ,[ㅊㅓㄹ] ➔ [ㄱㅏㅂ],27,160 px,0.81 초,[2글자 상위 타워] 육중한 철갑을 두른 채 27의 묵직한 가시 파편을 발사합니다.,res://assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png
2글자,철벽,철벽 (방어/절대방패),2티어 (상위),defense,ㅊ + ㅓ + ㄹ + ㅂ + ㅕ + ㄱ,[ㅊㅓㄹ] ➔ [ㅂㅕㄱ],25,160 px,0.81 초,[2글자 상위 타워] 25의 단단한 철벽 방어탄을 발사하여 적들을 확실하게 밀어냅니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,청동,청동 (청동방패/충격반사),2티어 (상위),defense,ㅊ + ㅓ + ㅇ + ㄷ + ㅗ + ㅇ,[ㅊㅓㅇ] ➔ [ㄷㅗㅇ],23,160 px,0.81 초,[2글자 상위 타워] 단단한 청동 방패로 23 충격파를 발사해 적을 튕겨냅니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,초소,초소 (감시/전방초소),2티어 (상위),defense,ㅊ + ㅗ + ㅅ + ㅗ,[ㅊㅗ] ➔ [ㅅㅗ],24,160 px,0.81 초,[2글자 상위 타워] 전방 감시 초소에서 24의 빠른 경계 사격을 가합니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
2글자,투구,투구 (방호/투구박치기),2티어 (상위),defense,ㅌ + ㅜ + ㄱ + ㅜ,[ㅌㅜ] ➔ [ㄱㅜ],22,160 px,0.81 초,[2글자 상위 타워] 단단한 투구의 힘으로 22 피해 및 적을 1초간 기절시킵니다.,res://assets/02_방어_장비/guard_완/guard_1_32px_pastel.png
2글자,함정,함정 (트랩/가시함정),2티어 (상위),defense,ㅎ + ㅏ + ㅁ + ㅈ + ㅓ + ㅇ,[ㅎㅏㅁ] ➔ [ㅈㅓㅇ],25,160 px,0.81 초,[2글자 상위 타워] 바닥에 날카로운 가시 함정을 깔아 25 피해 및 발을 묶습니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
